category,store_name,name,original_price,discount_percent,price,sold,rating,comment_count,category_group,is_sold_well
Đồ ngủ nữ,CHILI đồ ngủ nữ,"Đồ bộ mặc nhà 2 dây bảng to, đồ ngủ dễ thương chất vải kate kẻ mềm ,đồ ngủ nữ free size từ 38-55 kg",111998.0,46.0,60478.0,151.0,4.8,37.0,Thời trang - Thấp,1
Áo,YES FASHION,"Bộ Quần Áo thun nam 3 lỗ vải thun lạnh siêu mát, đủ màu",25900.0,47.0,13727.0,247.0,2.6,57.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,Pijama tay dài cổ vuông bộ đồ ngủ nữ pijama tiểu thư dài tay mặc nhà thu đông CARY,127998.0,45.0,70398.0,310.0,4.6,82.0,Thời trang - Thấp,1
Áo,Dubaishop,ĐỒ BỘ THỂ THAO MA JOURNEY  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH ĐẲNG CẤP NEW HOT 2023 - DUBAI FASHION,170000.0,62.0,64600.0,2600.0,4.3,578.0,Thời trang - Thấp,1
Áo,Dubaishop,ĐỒ BỘ THỂ THAO DONT STOP TRÀ SỮA  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH HOT NHẤT 2025 - DUBAI FASHION,170000.0,52.0,81600.0,2200.0,4.8,551.0,Thời trang - Thấp,1
Áo,Dubaishop,"ĐỒ BỘ THỂ THAO HARARD NEW , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION",170000.0,52.0,81600.0,392.0,4.6,102.0,Thời trang - Thấp,1
Bộ,BK Fashion6886,Bộ quần áo thể thao nam Sport chất thun lạnh co giãn thoáng khí phối Sọc kẻ,110000.0,38.0,68200.0,101.0,5.0,28.0,Thời trang - Thấp,1
Đồ ngủ nữ,d3odSmYq.Selection,"Đồ Ngủ Lụa Hàn Quốc Dài Tay – Sang Trọng, Mềm Mại & Thoải Mái Cho Cả Nam và Nữ",110900.0,57.0,47687.0,621.0,4.9,202.0,Thời trang - Thấp,1
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè BH03 chất thun lạnh, quần có túi kéo khóa",150000.0,39.0,91500.0,17.0,5.0,5.0,Thời trang - Thấp,0
Bộ,MINHSTORE66 Xưởng Thời Trang,"Bộ đồ thể thao Nam Nữ Mùa Hè Chất xốp vân cao cấp, bộ đồ ngắn tay nam nữ, bộ cộc tay nam nữ Cổ Tròn hottrend hè 2024 BO21 - MINHSTORE66",290000.0,56.0,127599.0,457.0,4.9,118.0,Thời trang - Trung+,1
Áo,JAPAN SHOP 68,"ĐỒ BỘ THỂ THAO VẠN LÝ TRƯỜNG THÀNH SÀNH ĐIỆU , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM NỮ CAO CẤP MỚI - JAPAN FASHION",160000.0,47.0,84800.0,313.0,4.3,71.0,Thời trang - Thấp,1
Đồ ngủ nữ,Đồ Ngủ Xinh T&H,Bộ đồ ngủ pijama nữ cộc tay quần đùi chất lụa Kate Thái mềm mịn màu nude viền nâu họa tiết gấu line,64000.0,42.0,37120.0,2000.0,4.7,407.0,Thời trang - Thấp,1
Bộ,MINHSTORE66 Xưởng Thời Trang,"Bộ Thể Thao Nam  CHẤT LIỆU Tổ Ông Cao Cấp, Bộ Đồ Nam Mặc Nhà Co Giãn  4 chiều BO09 - MINHSTORE66",240000.0,51.0,117600.0,224.0,4.9,69.0,Thời trang - Trung+,1
Áo,ATC77 SHOP,Áo sơ mi nam boy phố ngắn tay  vải lụa mềm mịn phối cầu vai trẻ trung sang trọng mẫu-ATC77SHOP,189000.0,53.0,88830.0,1400.0,4.8,419.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,"Đồ Bộ pijama Tay Dài Quần Dài Cổ Tròn bèo Phối Ren Họa Tiết Kẻ Caro chất liệu vải đũi xốp mềm, nhẹ, mát mặc nhà thu đông dễ thương",251998.0,48.0,131038.0,50.0,4.9,20.0,Thời trang - Trung+,0
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè dsq78, chất thun lạnh, quần có túi kéo khóa",150000.0,39.0,91500.0,48.0,4.6,9.0,Thời trang - Thấp,0
Đồ ngủ nữ,CHILI đồ ngủ nữ,Bộ pijama dài tay chất kate họạt hình siêu xinh bộ ngủ mặc nhà dễ thương CARY,107998.0,44.0,60478.0,259.0,4.9,75.0,Thời trang - Thấp,1
Áo,tokyo.shop,ĐỒ BỘ THỂ NYC95 SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM. CHƠI BÓNG RỔ MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH SANG CHẢNH VIP - TOKYO FASHION,170000.0,52.0,81600.0,1800.0,4.6,480.0,Thời trang - Thấp,1
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè DSQ28, chất thun lạnh, quần có túi kéo khóa",150000.0,39.0,91500.0,25.0,4.3,6.0,Thời trang - Thấp,0
Áo,minmouse01,Quần áo thể thao nam nữ - bộ đồ in hình loang parano chất thun lạnh thấm hút mồ hôi đủ size 30-90kg,110000.0,33.0,73699.0,19.0,5.0,3.0,Thời trang - Thấp,0
Áo,Mi Ni Shop,"Bộ Quần Áo thun nam in hình MAL độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",99000.0,80.0,19799.0,0.0,0.0,0.0,Thời trang - Thấp,0
Đồ ngủ nữ,Thời Trang BULL KID,Đồ ngủ nữ hai dây trơn vải thun lạnh 4 chiều dưới 65kg siêu mát mẻ kiểu dáng sexy siêu rẻ,90000.0,55.0,40499.0,562.0,4.9,169.0,Thời trang - Thấp,1
Áo nữ,d3odSmYq.Selection,Áo Khoác Cardigan Nữ Dệt Kim Màu Đồng Thanh Lịch – Kết Hợp Hoàn Hảo Với Áo Ba Lỗ Lụa Cổ Băng,76500.0,61.0,29835.0,1100.0,4.9,431.0,Thời trang - Thấp,1
Áo liền quần & áo liền quần,STUDIENT SHOP,SÉT ÁO IN LOGO 2 CÚN XINH XINH KÈM QUẦN ỐNG RỘNG RẤT DỄ THƯƠNG,160000.0,50.0,80000.0,298.0,4.6,72.0,Thời trang - Thấp,1
