category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Dụng cụ chăm sóc Sắc đẹp,Gia Dụng Pk,150.000 ₫,-36%,96000,(245),4.8,[HCM] Kệ đựng mỹ phẩm xoay 360 độ nhiều tầng bằng nhựa trong suốt thời trang,1.0K Đã bán,https://www.lazada.vn/products/pdp-i536218967.html
Nhập vai Phục trang & Dạ tiệc,SpeedOfficialStore,307.100 ₫,-13%,267177,(4),5.0,"Bộ Dụng Cụ Làm Đẹp Mỹ Phẩm Cho Trẻ Em 17 Chiếc, Bộ Hộp Trang Điểm Không Độc Hại Bộ Quà Tặng Sinh Nhật Cho Bé Gái, Bộ Trang Điểm Cho Trẻ Em, Bộ Trang Điểm Cho Trẻ Em, Đồ Chơi Trang Điểm Cho Bé Gái,",12 Đã bán,https://www.lazada.vn/products/pdp-i2391300572.html
Tủ chứa & Sắp xếp đồ,Gia Dụng Pk,76.000 ₫,-15%,64600,(2),5.0,"Hộp đựng cọ trang điểm 2959 - hộp đựng cọ có nắp kín chống ẩm mốc bụi bẩn, hộp dựng cọ trang điểm, hộp đựng mỹ phẩm, hộp đựng có nắp, hộp đựng trang sức",8 Đã bán,https://www.lazada.vn/products/pdp-i3027359155.html
Vali và Túi du lịch đa năng,BÁN GÌ RẺ THẾ,140.000 ₫,-46%,75600,(20),4.7,"Bộ 6 Túi Du Lịch Đựng Quần Áo, Mỹ Phẩm, Giày Dép, Tất , Vớ Xếp Gọn Chống Thấm - COMBO 6 TÚI TIỆN ÍCH ĐỰNG ĐỒ DU LỊCH CÁ NHÂN NHIỀU SIZE",51 Đã bán,https://www.lazada.vn/products/pdp-i2501463446.html
Tủ chứa & Sắp xếp đồ,Nội Thất YTC,550.000 ₫,-41%,324500,(596),4.9,"Kệ Đựng Mỹ Phẩm YTC Cao Cấp Nhập Khẩu, Chống Bụi Chống Nước Siêu Đẹp",2.3K Đã bán,https://www.lazada.vn/products/pdp-i1541343214.html
Tủ chứa & Sắp xếp đồ,Gia Dụng Pk,50.000 ₫,-22%,39000,(462),4.9,"Kệ Đựng Mỹ Phẩm, Kệ Để Đồ Trang Điểm Mini 3 Tầng 2 ngăn kéo - Kệ đựng Đồ Đa Năng Nhiều Ô Tiện Ích Có Ngăn Kéo, kệ đựng đồ trang điểm, kệ để bàn mini, kệ mini, kệ đựng đồ đa năng, kệ mini để bàn",1.9K Đã bán,https://www.lazada.vn/products/pdp-i2157423106.html
Dụng cụ chăm sóc Sắc đẹp,Mon-Basic Túi mỹ phẩm,180.000 ₫,-11%,160200,(4),5.0,Túi đựng đồ trang điểm du lịch 2 ngăn kéo -size lớn,11 Đã bán,https://www.lazada.vn/products/pdp-i2682220610.html
Trang điểm,Mỹ Phẩm Thuý Hường,,,,,,Bộ Trang Điểm Makuep Cơ Bản Đầy Đủ [22 Món S7] Bộ Sản Phẩm Makep Của Nữ Dành Cho Người Mới Tập Trang Điểm Mỹ Phẩm Cosmetic,,https://www.lazada.vn/products/pdp-i2661090348.html
Vali và Túi du lịch đa năng,Giadung.Ha'n,110.000 ₫,-31%,75900,(2),5.0,"Túi đựng mỹ phẩm ,Set 3 túi đựng đồ trang điểm du lịch chống thấm nước",12 Đã bán,https://www.lazada.vn/products/pdp-i2187188152.html
Vali và Túi du lịch đa năng,An An Nguyễn Store,50.000 ₫,-20%,40000,(30),5.0,"Túi Lưới Đựng Mỹ Phẩm Trang Điểm , Đồ Dùng Du Lịch Tiện Dụng (Nhiều Kích Cỡ)",163 Đã bán,https://www.lazada.vn/products/pdp-i2043119654.html
Vali và Túi du lịch đa năng,the gioi vali,200.000 ₫,-22%,156000,(102),4.8,"Túi đựng mỹ phẩm sức chứa lớn, túi đựng đồ du lịch mẫu mới, chống thấm nước và dễ dàng mang theo",350 Đã bán,https://www.lazada.vn/products/pdp-i2653332557.html
Trang điểm,PaNa- Store,110.000 ₫,-37%,69300,(1),5.0,Bộ trang điểm 4 món/ kem nền / kem lót/ phấn phủ/ mút,,https://www.lazada.vn/products/pdp-i3166530812.html
Vali và Túi du lịch đa năng,Tín Phong Shop,,,,(73),4.9,"Túi đựng mỹ phẩm,đồ du lịch bằng nhựa chống thấm Washbag (1 cái)",362 Đã bán,https://www.lazada.vn/products/pdp-i1869535696.html
Dụng cụ chăm sóc Sắc đẹp,My MiNail,,,,(15),4.7,Cốp nhôm 2 tầng đựng đồ trang điểm 32x26x21 Nail mi.phun xăm .make up,73 Đã bán,https://www.lazada.vn/products/pdp-i1468509050.html
Trang điểm,PaNa- Store,169.000 ₫,-41%,99710,(6),5.0,Bộ Trang Điểm Cá Nhân 7 đến 9 sản phẩm/ phấn nước lameila/Maccara/son/phấn phủ,32 Đã bán,https://www.lazada.vn/products/pdp-i1968046025.html
Vali và Túi du lịch đa năng,An An Nguyễn Store,250.000 ₫,-41%,147500,(21),5.0,"Túi đựng mỹ phẩm , túi đựng đồ du lịch chống nước ( nhiều mẫu )",144 Đã bán,https://www.lazada.vn/products/pdp-i2043143374.html
Chăm sóc da mặt,Eifini Fashion,103.640 ₫,-48%,53892,(1),1.0,Kem Giảm Mụn Trứng Cá Mờ Thâm Mờ Rỗ Lỗ Chân Lông To Giúp Căng Bóng Trẻ Hoá Làn Da/25g,8 Đã bán,https://www.lazada.vn/products/pdp-i2661488557.html
