category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Set bộ đi chơi,Pic Poc Store 2018,120.000 ₫,-59%,49200,(63),4.5,Combo 2 bộ mặc nhà thun cotton tay ngắn short Paris cho bạn gái - hàng QC CB2A00066,279 Đã bán,https://www.lazada.vn/products/pdp-i1887926163.html
Set bộ đi chơi,WINNY SHOP 1605685735,178.000 ₫,-53%,83660,(159),4.8,[3 size 42-70KG] Đồ bộ LATIN NƠ TRƯỚC NGỰC CHẤT VẢI MỀM MÁT SIÊU DỄ THƯƠNG thời trang,537 Đã bán,https://www.lazada.vn/products/pdp-i1959109556.html
Set bộ đi chơi,WINNY SHOP 1605685735,79.000 ₫,-53%,37130,(704),4.8,Đồ bộ THUN LẠNH MÁT CỔ TIM MẶC NHÀ SEXY THỜI TRANG FREESIZE 45-60kg tùy chiều cao,4.8K Đã bán,https://www.lazada.vn/products/pdp-i968956535.html
Áo,Sài Gòn Fashion,69.000 ₫,-71%,20010,,,"Bộ Quần Áo thun nam OP vải thun lạnh siêu mát, thiết kế thời trang",,https://www.lazada.vn/products/pdp-i562862816.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(18),4.8,"Bộ quần áo nam mùa hè DSQ-2 chất thun lạnh, quần có túi kéo khóa",77 Đã bán,https://www.lazada.vn/products/pdp-i3026298069.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,111.998 ₫,-46%,60478,(37),4.8,"Đồ bộ mặc nhà 2 dây bảng to, đồ ngủ dễ thương chất vải kate kẻ mềm ,đồ ngủ nữ free size từ 38-55 kg",151 Đã bán,https://www.lazada.vn/products/pdp-i2885233717.html
Áo,Mi Ni Shop,99.000 ₫,-80%,19800,(1),5,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",12 Đã bán,https://www.lazada.vn/products/pdp-i569314034.html
Áo,YES FASHION,25.900 ₫,-47%,13727,(57),2.6,"Bộ Quần Áo thun nam 3 lỗ vải thun lạnh siêu mát, đủ màu",247 Đã bán,https://www.lazada.vn/products/pdp-i544626973.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,127.998 ₫,-45%,70398,(82),4.6,Pijama tay dài cổ vuông bộ đồ ngủ nữ pijama tiểu thư dài tay mặc nhà thu đông CARY,310 Đã bán,https://www.lazada.vn/products/pdp-i2725793092.html
Áo,Dubaishop,170.000 ₫,-62%,64600,(578),4.3,ĐỒ BỘ THỂ THAO MA JOURNEY  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH ĐẲNG CẤP NEW HOT 2023 - DUBAI FASHION,2.6K Đã bán,https://www.lazada.vn/products/pdp-i1536733991.html
Áo,Dubaishop,170.000 ₫,-52%,81600,(551),4.8,ĐỒ BỘ THỂ THAO DONT STOP TRÀ SỮA  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH HOT NHẤT 2025 - DUBAI FASHION,2.2K Đã bán,https://www.lazada.vn/products/pdp-i2233994476.html
Áo,Dubaishop,170.000 ₫,-52%,81600,(102),4.6,"ĐỒ BỘ THỂ THAO HARARD NEW , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION",392 Đã bán,https://www.lazada.vn/products/pdp-i2020707337.html
Bộ,BK Fashion6886,110.000 ₫,-38%,68200,(28),5,Bộ quần áo thể thao nam Sport chất thun lạnh co giãn thoáng khí phối Sọc kẻ,101 Đã bán,https://www.lazada.vn/products/pdp-i2614395428.html
Đồ ngủ nữ,d3odSmYq.Selection,110.900 ₫,-57%,47687,(202),4.9,"Đồ Ngủ Lụa Hàn Quốc Dài Tay – Sang Trọng, Mềm Mại & Thoải Mái Cho Cả Nam và Nữ",621 Đã bán,https://www.lazada.vn/products/pdp-i2523368144.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(5),5,"Bộ quần áo nam mùa hè BH03 chất thun lạnh, quần có túi kéo khóa",17 Đã bán,https://www.lazada.vn/products/pdp-i3026330008.html
Bộ,MINHSTORE66 Xưởng Thời Trang,290.000 ₫,-56%,127600,(118),4.9,"Bộ đồ thể thao Nam Nữ Mùa Hè Chất xốp vân cao cấp, bộ đồ ngắn tay nam nữ, bộ cộc tay nam nữ Cổ Tròn hottrend hè 2024 BO21 - MINHSTORE66",457 Đã bán,https://www.lazada.vn/products/pdp-i2616142619.html
Áo,JAPAN SHOP 68,160.000 ₫,-47%,84800,(71),4.3,"ĐỒ BỘ THỂ THAO VẠN LÝ TRƯỜNG THÀNH SÀNH ĐIỆU , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM NỮ CAO CẤP MỚI - JAPAN FASHION",313 Đã bán,https://www.lazada.vn/products/pdp-i2405959746.html
Đồ ngủ nữ,Đồ Ngủ Xinh T&H,64.000 ₫,-42%,37120,(407),4.7,Bộ đồ ngủ pijama nữ cộc tay quần đùi chất lụa Kate Thái mềm mịn màu nude viền nâu họa tiết gấu line,2.0K Đã bán,https://www.lazada.vn/products/pdp-i1927408094.html
Bộ,MINHSTORE66 Xưởng Thời Trang,240.000 ₫,-51%,117600,(69),4.9,"Bộ Thể Thao Nam  CHẤT LIỆU Tổ Ông Cao Cấp, Bộ Đồ Nam Mặc Nhà Co Giãn  4 chiều BO09 - MINHSTORE66",224 Đã bán,https://www.lazada.vn/products/pdp-i2599429246.html
Áo,ATC77 SHOP,189.000 ₫,-53%,88830,(419),4.8,Áo sơ mi nam boy phố ngắn tay  vải lụa mềm mịn phối cầu vai trẻ trung sang trọng mẫu-ATC77SHOP,1.4K Đã bán,https://www.lazada.vn/products/pdp-i2421498456.html
Áo nữ,Mi Ni Shop,,,,(82),3.7,"Bộ Quần Áo thun Nam Nữ Họa Tiết BÒ SỮA ÁO BÒ MOO độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",327 Đã bán,https://www.lazada.vn/products/pdp-i1332282805.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,251.998 ₫,-48%,131038,(20),4.9,"Đồ Bộ pijama Tay Dài Quần Dài Cổ Tròn bèo Phối Ren Họa Tiết Kẻ Caro chất liệu vải đũi xốp mềm, nhẹ, mát mặc nhà thu đông dễ thương",50 Đã bán,https://www.lazada.vn/products/pdp-i2885476310.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(9),4.6,"Bộ quần áo nam mùa hè dsq78, chất thun lạnh, quần có túi kéo khóa",48 Đã bán,https://www.lazada.vn/products/pdp-i2725667941.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,107.998 ₫,-44%,60478,(75),4.9,Bộ pijama dài tay chất kate họạt hình siêu xinh bộ ngủ mặc nhà dễ thương CARY,259 Đã bán,https://www.lazada.vn/products/pdp-i2857894605.html
Áo,tokyo.shop,170.000 ₫,-52%,81600,(480),4.6,ĐỒ BỘ THỂ NYC95 SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM. CHƠI BÓNG RỔ MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH SANG CHẢNH VIP - TOKYO FASHION,1.8K Đã bán,https://www.lazada.vn/products/pdp-i2210765730.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(6),4.3,"Bộ quần áo nam mùa hè DSQ28, chất thun lạnh, quần có túi kéo khóa",25 Đã bán,https://www.lazada.vn/products/pdp-i3026303032.html
Áo,minmouse01,110.000 ₫,-33%,73700,(3),5,Quần áo thể thao nam nữ - bộ đồ in hình loang parano chất thun lạnh thấm hút mồ hôi đủ size 30-90kg,19 Đã bán,https://www.lazada.vn/products/pdp-i2681235926.html
Áo,Mi Ni Shop,99.000 ₫,-80%,19800,,,"Bộ Quần Áo thun nam in hình MAL độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",,https://www.lazada.vn/products/pdp-i569146650.html
Set bộ đi chơi,Shop Thỏ Bunny,100.000 ₫,-51%,49000,(29),4.7,"( 2 mẫu, hót trend ) Bộ đồ áo thun trắng in Lợn + quần heo hồng sieuu kutee",95 Đã bán,https://www.lazada.vn/products/pdp-i2784532666.htmlSet bộ đi chơi,HUỲNH PHẠM SHOP,178.000 ₫,-53%,83660,(152),4.9,set bộ tay ngắn quần kẻ thời trang siêu xinh,490 Đã bán,https://www.lazada.vn/products/pdp-i2934382398.html
Đồ ngủ nữ,Thời Trang BULL KID,90.000 ₫,-55%,40500,(169),4.9,Đồ ngủ nữ hai dây trơn vải thun lạnh 4 chiều dưới 65kg siêu mát mẻ kiểu dáng sexy siêu rẻ,562 Đã bán,https://www.lazada.vn/products/pdp-i2601077451.html
Set bộ đi chơi,MINH THU SHOPPING,75.000 ₫,-53%,35250,(557),4.5,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ MẪU MỚI THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,3.2K Đã bán,https://www.lazada.vn/products/pdp-i293392544.html
Áo,minmouse01,110.000 ₫,-33%,73700,(3),5,Quần áo thể thao nam nữ - bộ đồ in hình loang parano chất thun lạnh thấm hút mồ hôi đủ size 30-90kg,19 Đã bán,https://www.lazada.vn/products/pdp-i2681235926.html
Áo nữ,d3odSmYq.Selection,76.500 ₫,-61%,29835,(431),4.9,Áo Khoác Cardigan Nữ Dệt Kim Màu Đồng Thanh Lịch – Kết Hợp Hoàn Hảo Với Áo Ba Lỗ Lụa Cổ Băng,1.1K Đã bán,https://www.lazada.vn/products/pdp-i2509461603.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(6),4.3,"Bộ quần áo nam mùa hè DSQ28, chất thun lạnh, quần có túi kéo khóa",25 Đã bán,https://www.lazada.vn/products/pdp-i3026303032.html
Set bộ đi chơi,HUỲNH PHẠM SHOP,178.000 ₫,-53%,83660,(471),4.9,SET BỘ THỜI TRANG ÁO NƠ IN CHỮ PHỐI QUẦN LỤA XINH XẮN,1.4K Đã bán,https://www.lazada.vn/products/pdp-i2827334988.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,107.998 ₫,-44%,60478,(75),4.9,Bộ pijama dài tay chất kate họạt hình siêu xinh bộ ngủ mặc nhà dễ thương CARY,259 Đã bán,https://www.lazada.vn/products/pdp-i2857894605.html
Áo,ATC77 SHOP,189.000 ₫,-53%,88830,(419),4.8,Áo sơ mi nam boy phố ngắn tay  vải lụa mềm mịn phối cầu vai trẻ trung sang trọng mẫu-ATC77SHOP,1.4K Đã bán,https://www.lazada.vn/products/pdp-i2421498456.html
Áo liền quần & áo liền quần,STUDIENT SHOP,160.000 ₫,-50%,80000,(72),4.6,SÉT ÁO IN LOGO 2 CÚN XINH XINH KÈM QUẦN ỐNG RỘNG RẤT DỄ THƯƠNG,298 Đã bán,https://www.lazada.vn/products/pdp-i1714169900.html
Set bộ đi chơi,WINNY SHOP 1605685735,99.000 ₫,-53%,46530,(2411),4.9,[3 SIZE 45-70KG) Đồ bộ LỤA ĐÙI CHẤM BI CHẤT VẢI LỤA HÀN MỀM MÁT thời trang,8.1K Đã bán,https://www.lazada.vn/products/pdp-i2070420835.html
Đồ ngủ nữ,Đồ Ngủ Xinh T&H,64.000 ₫,-42%,37120,(407),4.7,Bộ đồ ngủ pijama nữ cộc tay quần đùi chất lụa Kate Thái mềm mịn màu nude viền nâu họa tiết gấu line,2.0K Đã bán,https://www.lazada.vn/products/pdp-i1927408094.html
Bộ,Thời trang nam 2K,150.000 ₫,-41%,88500,,,"Bộ quần áo nam mùa hè NVY, chất thun lạnh, quần có túi kéo khóa",,https://www.lazada.vn/products/pdp-i2668387298.html
Áo,Mi Ni Shop,99.000 ₫,-80%,19800,(1),5,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",12 Đã bán,https://www.lazada.vn/products/pdp-i569314034.html
Áo,Dubaishop,90.000 ₫,-49%,45900,(88),4.1,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",331 Đã bán,https://www.lazada.vn/products/pdp-i1402582985.html
